title,author,runtime
Coven King 1,"By: Virgil Knightley, Edgar Riggs",Length: 10 hrs and 52 mins
Murder at the Dinner Party,By: C.J. Archer,Length: 7 hrs and 35 mins
"Mushoku Tensei: Jobless Reincarnation, Vol. 19",By: Rifujin na Magonote,Length: 9 hrs and 20 mins
Skeletons in the Closet,By: Nicky James,Length: 10 hrs and 55 mins
Cold King of New York,By: Siobhan Davis,Length: 8 hrs and 56 mins
Ruin My Life,By: Luna Pierce,Length: 16 hrs and 4 mins
Emperor's End,By: Kyle Kirrin,Length: 16 hrs and 18 mins
Blackheart,By: Joshua Dalzelle,Length: 8 hrs and 15 mins
The Grim Reaper Gaffe,By: Amanda M. Lee,Length: 9 hrs and 16 mins
Cruel King of New York,By: Siobhan Davis,Length: 8 hrs and 14 mins
Enemy A(n)t the Gates,By: RinoZ,Length: 20 hrs and 49 mins
Love Addict's RPG V1.00,By: Punished Kom,Length: 21 hrs and 16 mins
The Knight,By: Will Wight,Length: Not Yet Known
Defiance of the Fall 13,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 35 mins
A Sage's Legacy,By: Xander Jade,Length: 10 hrs and 28 mins
Pulse,By: Adriana Locke,Length: 6 hrs and 1 min
Relever,By: Jane Washington,Length: 14 hrs and 32 mins
God of War,By: Rina Kent,Length: 15 hrs
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
Under the Breaking Sky: The Complete Apocalyptic Horror Series,By: Nick Clausen,Length: 59 hrs and 36 mins
